accuracy:
Train: 0.9981874617375183
Test: 0.82625
Layer sizes:
[16, 8, 1]
Weights table:
Src layer , src neuron , dest layer , dest neuron , weight value
1 , 1 , 2 , 1 , -0.4340402719735734
1 , 1 , 2 , 2 , 0.6972371427512507
1 , 1 , 2 , 3 , -0.3179433707433962
1 , 1 , 2 , 4 , 0.1000174677594596
1 , 1 , 2 , 5 , 0.027468134636988998
1 , 1 , 2 , 6 , -0.01509896472372007
1 , 1 , 2 , 7 , -0.23312580125128732
1 , 1 , 2 , 8 , -0.24731674615681642
1 , 2 , 2 , 1 , -0.579502630026339
1 , 2 , 2 , 2 , 0.30394459906662596
1 , 2 , 2 , 3 , 0.027113541966903687
1 , 2 , 2 , 4 , -0.4017641452399182
1 , 2 , 2 , 5 , 0.36611143881798497
1 , 2 , 2 , 6 , 0.2739459739860166
1 , 2 , 2 , 7 , -0.15134831994587444
1 , 2 , 2 , 8 , -0.2215759870422077
1 , 3 , 2 , 1 , -0.24845988859712578
1 , 3 , 2 , 2 , 0.4841671879333526
1 , 3 , 2 , 3 , 0.38951289507997355
1 , 3 , 2 , 4 , -0.39807497241449596
1 , 3 , 2 , 5 , 0.07353059768753975
1 , 3 , 2 , 6 , 0.5754191783493218
1 , 3 , 2 , 7 , -0.3563837093488014
1 , 3 , 2 , 8 , 0.023280567936501642
1 , 4 , 2 , 1 , 0.23810059066471792
1 , 4 , 2 , 2 , -0.5511963578115702
1 , 4 , 2 , 3 , -0.034871851739213255
1 , 4 , 2 , 4 , -0.04624581420265738
1 , 4 , 2 , 5 , 0.21654464416289002
1 , 4 , 2 , 6 , 0.6230787444450927
1 , 4 , 2 , 7 , 0.30813587201227166
1 , 4 , 2 , 8 , -0.08484703631104502
1 , 5 , 2 , 1 , -0.2499643595454745
1 , 5 , 2 , 2 , 0.36467563781109075
1 , 5 , 2 , 3 , 0.21671362403314062
1 , 5 , 2 , 4 , 0.5602855210313572
1 , 5 , 2 , 5 , -0.11783588604617977
1 , 5 , 2 , 6 , 0.06312766284643224
1 , 5 , 2 , 7 , 0.22139436156445164
1 , 5 , 2 , 8 , -0.20644646044205214
1 , 6 , 2 , 1 , 0.14430045047981674
1 , 6 , 2 , 2 , -0.6196395122236507
1 , 6 , 2 , 3 , -0.18300334861080556
1 , 6 , 2 , 4 , -0.4391352174362544
1 , 6 , 2 , 5 , 0.2168454218325233
1 , 6 , 2 , 6 , 0.2203689629231518
1 , 6 , 2 , 7 , 0.21168136469006021
1 , 6 , 2 , 8 , 0.14722338936279458
1 , 7 , 2 , 1 , -0.29319009980440147
1 , 7 , 2 , 2 , 0.14847011041456612
1 , 7 , 2 , 3 , -0.09175520711117355
1 , 7 , 2 , 4 , -0.2802600594171901
1 , 7 , 2 , 5 , -0.27364600191553157
1 , 7 , 2 , 6 , 0.40191825673842557
1 , 7 , 2 , 7 , -0.4462131830207404
1 , 7 , 2 , 8 , -0.299562525294325
1 , 8 , 2 , 1 , -0.19864179105931792
1 , 8 , 2 , 2 , -0.3324314361800915
1 , 8 , 2 , 3 , -0.25153407463589883
1 , 8 , 2 , 4 , 0.06284544701063122
1 , 8 , 2 , 5 , 0.2889493341760038
1 , 8 , 2 , 6 , -0.06899543245631758
1 , 8 , 2 , 7 , 0.4717110323042857
1 , 8 , 2 , 8 , 0.2819472202799146
1 , 9 , 2 , 1 , -0.4024143414980143
1 , 9 , 2 , 2 , 0.35914641252177965
1 , 9 , 2 , 3 , 0.28756713926486094
